candidate,nearest_existing_well,nearest_completion_distance_IJ_cells,I,J,K,X,Y,Depth,PORO,PORV,NTG,PERMX,PERMY,PERMZ,SATNUM,PRESSURE_initial,PRESSURE_final,DELTA_PRESSURE,SWAT_initial,SWAT_final,DELTA_SWAT,SGAS_initial,SGAS_final,SOIL_initial,SOIL_final,OIL_PV_PROXY
ALT_66_32,P-F-10,5.0,66,32,34,435402.8670069716,6478066.466022174,2948.2264099121094,0.19954310357570648,418.0755920410156,1.0,101.68502807617188,101.68502807617188,30.505510330200195,1.0,327.94818115234375,368.9976501464844,41.049468994140625,0.23536138236522675,0.6318120956420898,0.3964507132768631,0.0,0.0,0.7646386176347733,0.36818790435791016,153.93037609677413
ALT_66_32,P-F-10,5.0,66,32,35,435403.1110216714,6478066.263347678,2949.1951293945312,0.19640079140663147,411.81597900390625,1.0,151.61033630371094,151.61033630371094,45.48310089111328,1.0,328.0160827636719,369.09716796875,41.081085205078125,0.22009585797786713,0.6182634234428406,0.39816756546497345,0.0,0.0,0.7799041420221329,0.3817365765571594,157.20522199648622
ALT_66_32,P-F-10,5.0,66,32,36,435403.42324048,6478066.003975339,2950.4344787597656,0.2039569765329361,667.2652587890625,1.0,289.7568359375,289.7568359375,86.92705535888672,2.0,328.1029357910156,369.2254638671875,41.122528076171875,0.19534103572368622,0.6312785744667053,0.4359375387430191,0.0,0.0,0.8046589642763138,0.3687214255332947,246.0349974295459
ALT_66_32,P-F-10,5.0,66,32,37,435403.803671994,6478065.687899105,2951.9444885253906,0.23843717575073242,781.0254516601562,1.0,1278.2855224609375,1278.2855224609375,511.314208984375,2.0,328.2086486816406,369.38299560546875,41.174346923828125,0.13861674070358276,0.6678653955459595,0.5292486548423767,0.0,0.0,0.8613832592964172,0.3321346044540405,259.40557945568435
ALT_66_32,P-F-10,5.0,66,32,38,435404.1841285506,6478065.37179777,2953.45458984375,0.2437063604593277,799.3941040039062,1.0,3170.64794921875,3170.64794921875,1268.2591552734375,2.0,328.3142395019531,369.54132080078125,41.227081298828125,0.10389897227287292,0.6679703593254089,0.564071387052536,0.0,0.0,0.8961010277271271,0.33202964067459106,265.42253710980367
ALT_66_32,P-F-10,5.0,66,32,39,435404.5645924981,6478065.055690696,2954.9647216796875,0.23691600561141968,777.9417114257812,1.0,2568.25927734375,2568.25927734375,1027.3037109375,2.0,328.4203796386719,369.7000732421875,41.279693603515625,0.11195176839828491,0.6857514977455139,0.573799729347229,0.0,0.0,0.8880482316017151,0.3142485022544861,244.46701765684338
ALT_66_32,P-F-10,5.0,66,32,40,435404.9449944482,6478064.739637418,2956.474609375,0.23646269738674164,777.2726440429688,1.0,2556.013916015625,2556.013916015625,1022.4055786132812,2.0,328.5263671875,369.8590087890625,41.3326416015625,0.1121344268321991,0.7000773549079895,0.5879429280757904,0.0,0.0,0.8878655731678009,0.2999226450920105,233.12166735902792
ALT_66_32,P-F-10,5.0,66,32,41,435405.3254040644,6478064.423577561,2957.9845275878906,0.2344549000263214,771.7404174804688,1.0,2291.398193359375,2291.398193359375,916.5592651367188,2.0,328.6321716308594,370.0179748535156,41.38580322265625,0.11631116271018982,0.7201679944992065,0.6038568317890167,0.0,0.0,0.8836888372898102,0.27983200550079346,215.95766874957917
ALT_66_32,P-F-10,5.0,66,32,42,435405.7057988843,6478064.107527496,2959.494384765625,0.22996538877487183,757.7595825195312,1.0,1591.575927734375,1591.575927734375,636.63037109375,2.0,328.7380676269531,370.1769714355469,41.43890380859375,0.13023918867111206,0.757125973701477,0.626886785030365,0.0,0.0,0.8697608113288879,0.24287402629852295,184.0401207728064
ALT_66_32,P-F-10,5.0,66,32,44,435406.46665478236,6478063.475378241,2962.514373779297,0.23237785696983337,767.5740966796875,1.0,1849.8221435546875,1849.8221435546875,739.9288940429688,2.0,328.9498596191406,370.51776123046875,41.567901611328125,0.1244925856590271,0.6255704164505005,0.5010778307914734,0.0,0.0,0.8755074143409729,0.3744295835494995,287.40244936315867
